,cases,deaths,bed_occupancy,hospital_ward,co,so2,pm25,pm10,o3,no2,pressure,temperature,humidity,dew,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,holiday+7d,month,weekday_cat,weekday
2020-12-10,1996,63,65.19,2426.0,2.8,1.1,42.0,15.0,13.5,8.7,1017.6,20.5,73.5,15.3,-20.0,22.0,-9.0,-18.0,-17.0,10.0,0,12,3,Thursday
2020-12-11,1954,38,65.83,2437.0,3.7,1.1,42.0,16.0,10.6,13.3,1018.0,21.0,77.0,16.0,-24.0,17.0,-12.0,-15.0,-14.0,10.0,0,12,4,Friday
2020-12-12,1848,38,66.09,2474.0,4.6,0.6,46.0,15.0,17.1,13.3,1018.0,23.0,73.0,16.5,-13.0,24.0,-12.0,0.0,9.0,4.0,0,12,5,Saturday
2020-12-13,201,24,66.42,2411.0,3.7,0.6,34.0,10.0,14.3,6.9,1017.0,24.0,72.2,18.0,-20.0,14.0,-8.0,-10.0,11.0,5.0,0,12,6,Sunday
2020-12-14,290,16,66.8,2384.0,3.7,0.6,34.0,12.0,19.9,10.6,1016.0,22.6,70.5,17.0,-22.0,12.0,-18.0,-20.0,-18.0,10.0,0,12,0,Monday
2020-12-15,916,70,66.8,2382.0,3.7,1.1,46.0,15.0,15.9,15.1,1015.5,22.0,78.2,18.0,-23.0,11.0,-27.0,-20.0,-18.0,10.0,0,12,1,Tuesday
2020-12-16,0,0,67.38,2506.0,4.6,1.1,55.0,19.0,17.9,15.6,1017.3,22.7,80.9,18.0,-21.0,15.0,-17.0,-19.0,-17.0,10.0,0,12,2,Wednesday
2020-12-17,4632,121,68.29,2510.0,3.7,0.6,42.0,13.0,15.9,16.0,1017.0,22.0,78.0,18.0,-18.0,22.0,-16.0,-17.0,-17.0,9.0,0,12,3,Thursday
2020-12-18,2025,48,68.7,2500.0,4.6,1.1,46.0,15.0,15.1,15.1,1015.0,22.0,79.5,18.0,-19.0,20.0,-12.0,-13.0,-14.0,9.0,0,12,4,Friday
2020-12-19,2498,43,68.69,2503.0,4.6,1.1,57.0,20.0,21.6,12.4,1014.0,26.0,73.0,18.0,-7.0,30.0,-10.0,7.0,10.0,3.0,0,12,5,Saturday
2020-12-20,0,0,68.39,2387.0,3.7,0.6,38.0,13.0,19.9,10.6,1015.0,23.0,77.0,18.0,-12.0,22.0,-9.0,-2.0,18.0,4.0,0,12,6,Sunday
2020-12-21,730,14,68.42,2454.0,3.7,0.6,46.0,19.0,15.1,11.5,1016.0,23.0,83.0,19.0,-13.0,22.0,-26.0,-19.0,-22.0,9.0,0,12,0,Monday
2020-12-22,2351,54,68.72,2475.0,2.8,0.6,25.0,9.0,14.3,7.4,1018.0,20.8,88.0,17.0,-10.0,31.0,-30.0,-20.0,-25.0,9.0,0,12,1,Tuesday
2020-12-23,2413,50,68.57,2475.0,2.8,1.1,38.0,15.0,14.3,8.7,1018.0,19.0,77.0,15.0,-8.0,49.0,-17.0,-17.0,-26.0,8.0,0,12,2,Wednesday
2020-12-24,2298,56,68.36,2408.0,1.9,1.1,25.0,11.0,13.9,5.1,1018.0,19.0,77.0,15.0,-35.0,47.0,-34.0,-41.0,-52.0,14.0,0,12,3,Thursday
2020-12-25,1012,9,68.02,2269.0,1.9,1.1,30.0,11.0,13.5,4.6,1017.1,18.0,82.0,15.0,-83.0,-70.0,-52.0,-72.0,-77.0,21.0,1,12,4,Friday
2020-12-26,423,7,67.63,2067.0,1.9,0.6,30.0,12.0,12.2,5.5,1016.6,19.2,82.0,16.0,-60.0,-8.0,-49.0,-42.0,-29.0,13.0,1,12,5,Saturday
2020-12-27,660,7,67.53,2041.0,1.9,1.1,30.0,10.0,7.0,5.5,1018.0,20.6,85.0,17.0,-60.0,-16.0,-54.0,-36.0,-8.0,10.0,1,12,6,Sunday
2020-12-28,484,14,67.23,2110.0,3.7,0.6,30.0,10.0,16.7,11.0,1019.0,21.0,82.0,17.0,-26.0,9.0,-33.0,-34.0,-36.0,14.0,1,12,0,Monday
2020-12-29,3445,64,67.15,2254.0,3.7,0.6,30.0,10.0,14.7,11.9,1017.0,20.1,82.0,17.0,-30.0,10.0,-35.0,-35.0,-38.0,14.0,1,12,1,Tuesday
2020-12-30,3215,60,66.85,2239.0,3.7,0.6,38.0,11.0,19.5,11.0,1015.0,25.0,61.0,16.0,-26.0,35.0,-22.0,-33.0,-38.0,12.0,1,12,2,Wednesday
2020-12-31,2657,78,66.77,2368.0,3.7,1.1,30.0,12.0,17.1,6.9,1016.5,23.0,73.0,18.0,-54.0,29.0,-45.0,-52.0,-61.0,17.0,0,12,3,Thursday
2021-01-01,1117,16,66.87,2212.0,2.8,0.6,46.0,12.0,16.3,4.6,1018.0,21.0,82.0,18.0,-87.0,-77.0,-64.0,-76.0,-79.0,22.0,1,1,4,Friday
2021-01-02,553,21,67.17,2110.0,1.9,0.6,25.0,7.0,16.7,4.2,1017.8,20.0,86.7,17.0,-69.0,-19.0,-58.0,-51.0,-40.0,14.0,1,1,5,Saturday
2021-01-03,637,9,67.44,2151.0,1.9,1.1,30.0,8.0,14.3,3.7,1017.0,19.0,77.0,15.5,-61.0,-13.0,-41.0,-34.0,-10.0,8.0,1,1,6,Sunday
2021-01-04,551,18,67.77,2196.0,2.8,1.1,38.0,11.0,13.9,8.3,1016.0,21.0,77.0,15.3,-37.0,4.0,-29.0,-33.0,-29.0,12.0,1,1,0,Monday
2021-01-05,2981,93,67.63,2343.0,3.7,1.1,50.0,17.0,13.9,12.8,1016.0,24.0,73.0,17.0,-36.0,7.0,-25.0,-31.0,-28.0,13.0,1,1,1,Tuesday
2021-01-06,3208,74,67.99,2430.0,3.7,1.1,50.0,19.0,16.3,14.7,1016.0,24.7,69.0,18.0,-37.0,3.0,-24.0,-30.0,-26.0,13.0,1,1,2,Wednesday
2021-01-07,3127,60,67.87,2520.0,2.8,1.1,30.0,13.0,14.3,10.1,1015.6,24.0,73.0,18.0,-33.0,14.0,-18.0,-28.0,-25.0,13.0,0,1,3,Thursday
2021-01-08,3329,70,68.3,2699.0,3.7,0.6,38.0,14.0,14.7,9.6,1016.0,22.0,78.0,18.0,-33.0,11.0,-17.0,-26.0,-22.0,12.0,0,1,4,Friday
2021-01-09,2775,73,68.56,2746.0,3.7,0.6,57.0,19.0,17.5,6.4,1016.0,22.0,83.0,19.0,-27.0,15.0,-26.0,-17.0,-1.0,7.0,0,1,5,Saturday
2021-01-10,943,17,68.3,2767.0,2.8,0.6,46.0,14.0,15.5,5.1,1016.6,22.0,84.6,19.0,-37.0,1.0,-27.0,-25.0,2.0,7.0,0,1,6,Sunday
2021-01-11,675,12,68.41,2755.0,3.7,0.6,50.0,17.0,15.9,9.2,1016.0,23.0,83.0,20.0,-32.0,7.0,-26.0,-28.0,-23.0,11.0,0,1,0,Monday
2021-01-12,2638,66,69.29,2711.0,3.7,0.6,57.0,20.0,15.9,12.4,1016.0,23.0,83.0,20.0,-35.0,1.0,-31.0,-31.0,-24.0,12.0,0,1,1,Tuesday
2021-01-13,3580,83,69.86,2820.0,2.8,1.1,46.0,14.0,16.3,6.4,1017.2,22.7,83.0,19.0,-35.0,1.0,-23.0,-31.0,-24.0,11.0,0,1,2,Wednesday
2021-01-14,2870,97,70.78,2807.0,2.8,1.1,38.0,15.0,14.3,7.4,1018.0,22.0,82.0,18.5,-36.0,1.0,-24.0,-33.0,-26.0,10.0,0,1,3,Thursday
2021-01-15,3466,98,71.16,2835.0,4.6,1.1,50.0,17.0,9.4,16.5,1017.0,21.0,85.0,18.0,-41.0,-8.0,-32.0,-34.0,-25.0,11.0,0,1,4,Friday
2021-01-16,3061,75,71.87,2799.0,3.7,1.1,34.0,12.0,12.6,9.6,1015.0,24.0,69.5,17.0,-29.0,6.0,-17.0,-22.0,-5.0,5.0,0,1,5,Saturday
2021-01-17,1140,19,73.16,2754.0,2.8,0.6,25.0,10.0,15.9,4.6,1014.7,24.0,64.0,17.0,-36.0,-2.0,-5.0,-26.0,-3.0,4.0,0,1,6,Sunday
2021-01-18,642,12,73.72,2746.0,3.7,0.6,30.0,11.0,19.1,9.2,1015.5,23.0,78.0,18.0,-37.0,-6.0,-27.0,-33.0,-26.0,10.0,0,1,0,Monday
2021-01-19,3466,75,73.72,2804.0,2.8,0.6,38.0,14.0,15.5,7.8,1018.0,22.0,83.0,19.0,-38.0,-2.0,-32.0,-34.0,-26.0,11.0,0,1,1,Tuesday
2021-01-20,3399,105,73.91,2816.0,3.7,1.1,46.0,19.0,15.9,7.8,1018.5,22.0,82.0,19.0,-35.0,3.0,-20.0,-31.0,-24.0,10.0,0,1,2,Wednesday
2021-01-21,2868,83,73.98,2755.0,3.7,1.1,53.0,22.0,18.7,8.7,1020.0,21.9,78.0,18.0,-34.0,6.0,-19.0,-30.0,-24.0,10.0,0,1,3,Thursday
2021-01-22,1716,60,74.18,2779.0,2.8,1.1,57.0,23.0,19.1,10.1,1021.7,22.5,78.0,18.0,-34.0,5.0,-14.0,-27.0,-21.0,10.0,0,1,4,Friday
2021-01-23,3001,61,74.1,2690.0,3.7,1.1,55.0,21.0,17.1,9.6,1021.0,21.5,78.0,18.0,-34.0,4.0,-28.0,-22.0,-4.0,5.0,0,1,5,Saturday
2021-01-24,894,12,73.79,2610.0,3.7,0.6,59.0,21.0,19.1,7.4,1018.5,21.3,82.0,18.0,-40.0,-3.0,-15.0,-28.0,-2.0,5.0,0,1,6,Sunday
2021-01-25,545,16,73.42,2661.0,3.7,0.6,53.0,20.0,19.5,9.2,1017.0,22.0,78.0,18.0,-57.0,-23.0,-11.0,-60.0,-63.0,17.0,0,1,0,Monday
2021-01-26,1167,19,73.0,2601.0,4.6,1.1,53.0,21.0,14.3,17.0,1017.0,23.3,75.8,18.0,-38.0,0.0,-32.0,-31.0,-23.0,10.0,0,1,1,Tuesday
2021-01-27,3293,108,72.28,2584.0,4.6,1.1,55.0,23.0,15.9,15.6,1016.0,27.9,56.5,17.0,-37.0,2.0,-18.0,-29.0,-22.0,11.0,0,1,2,Wednesday
2021-01-28,3545,68,71.8,2580.0,4.6,1.1,46.0,20.0,20.4,15.1,1015.0,25.0,57.6,17.0,-34.0,8.0,-17.0,-28.0,-22.0,11.0,0,1,3,Thursday
2021-01-29,3267,51,71.27,2511.0,6.4,1.1,63.0,32.0,17.5,20.6,1015.8,26.0,57.0,16.0,-32.0,12.0,-5.0,-24.0,-18.0,10.0,0,1,4,Friday
2021-01-30,2721,59,70.86,2523.0,5.5,1.1,68.0,31.0,28.9,14.7,1017.0,25.5,65.0,18.0,-48.0,11.0,-32.0,-26.0,-12.0,8.0,0,1,5,Saturday
2021-01-31,764,24,70.32,2455.0,4.6,0.6,61.0,27.0,25.6,9.6,1017.0,27.0,61.0,18.0,-52.0,5.0,-29.0,-30.0,-7.0,6.0,0,1,6,Sunday
2021-02-01,468,8,70.11,2365.0,4.6,1.1,46.0,20.0,19.1,13.8,1016.4,24.0,68.0,17.0,-35.0,3.0,-27.0,-28.0,-22.0,10.0,0,2,0,Monday
2021-02-02,3138,71,69.89,2370.0,5.5,1.1,59.0,23.0,9.8,19.2,1017.0,22.8,73.0,18.0,-36.0,2.0,-25.0,-29.0,-23.0,11.0,0,2,1,Tuesday
2021-02-03,3036,62,70.03,2343.0,5.5,1.1,65.0,28.0,23.2,16.0,1017.4,24.0,78.0,19.0,-35.0,3.0,-18.0,-28.0,-20.0,11.0,0,2,2,Wednesday
2021-02-04,3213,49,69.71,2317.0,4.6,0.6,59.0,26.0,20.8,11.5,1013.0,27.5,62.7,20.0,-32.0,10.0,-13.0,-27.0,-20.0,10.0,0,2,3,Thursday
2021-02-05,2422,60,69.63,2361.0,3.7,0.6,30.0,12.0,12.6,8.3,1011.6,21.0,82.0,17.0,-31.0,14.0,-18.0,-23.0,-17.0,9.0,0,2,4,Friday
2021-02-06,2419,49,69.36,2238.0,2.8,1.1,38.0,17.0,14.7,5.1,1013.5,19.7,79.5,15.5,-24.0,19.0,-20.0,-15.0,0.0,5.0,0,2,5,Saturday
2021-02-07,802,18,69.26,2244.0,2.8,1.1,30.0,14.0,13.0,3.7,1017.0,19.0,76.5,15.0,-34.0,8.0,-11.0,-24.0,0.0,5.0,0,2,6,Sunday
2021-02-08,554,16,69.06,2242.0,2.8,1.1,30.0,16.0,9.0,6.0,1017.1,18.9,72.0,14.0,-32.0,6.0,-24.0,-25.0,-21.0,9.0,0,2,0,Monday
2021-02-09,2737,93,68.98,2282.0,1.9,1.1,30.0,14.0,10.6,6.9,1018.0,19.7,77.0,15.0,-32.0,7.0,-25.0,-26.0,-20.0,10.0,0,2,1,Tuesday
2021-02-10,2810,63,68.72,2317.0,2.8,1.1,34.0,15.0,12.2,7.8,1018.2,20.0,80.7,16.0,-33.0,4.0,-22.0,-25.0,-19.0,10.0,0,2,2,Wednesday
2021-02-11,2153,71,68.59,2271.0,4.6,1.1,46.0,16.0,11.4,16.5,1018.3,19.0,82.0,16.4,-34.0,6.0,-28.0,-26.0,-20.0,11.0,1,2,3,Thursday
2021-02-12,2529,61,68.07,2255.0,4.6,1.1,46.0,16.0,10.2,16.0,1017.8,20.0,82.0,17.0,-30.0,13.0,-16.0,-22.0,-16.0,9.0,1,2,4,Friday
2021-02-13,2203,28,68.0,2243.0,5.5,0.6,34.0,11.0,7.4,12.4,1016.0,20.3,88.0,18.0,-28.0,10.0,-45.0,-22.0,-3.0,7.0,1,2,5,Saturday
2021-02-14,585,18,67.86,2275.0,4.6,1.1,30.0,12.0,13.5,7.4,1014.0,24.0,70.0,17.0,-31.0,7.0,-3.0,-23.0,3.0,6.0,1,2,6,Sunday
2021-02-15,552,10,67.32,2173.0,3.7,0.6,38.0,16.0,12.2,11.5,1013.0,23.0,73.0,17.0,-31.0,5.0,-16.0,-31.0,-27.0,11.0,1,2,0,Monday
2021-02-16,2347,71,67.74,2249.0,4.6,1.1,42.0,16.0,12.2,14.7,1012.0,22.0,77.0,17.0,-36.0,-1.0,-21.0,-34.0,-29.0,12.0,1,2,1,Tuesday
2021-02-17,2685,63,68.12,2343.0,4.6,1.1,53.0,20.0,13.0,17.4,1012.0,21.0,82.0,17.0,-38.0,-2.0,-30.0,-27.0,-20.0,11.0,1,2,2,Wednesday
2021-02-18,2495,48,68.74,2383.0,3.7,0.6,50.0,18.0,16.3,12.8,1012.0,21.1,82.0,17.0,-30.0,15.0,-13.0,-23.0,-18.0,10.0,1,2,3,Thursday
2021-02-19,2139,44,69.62,2368.0,3.7,1.1,59.0,22.0,18.7,9.6,1014.0,22.0,78.0,17.0,-29.0,15.0,-9.0,-20.0,-14.0,9.0,1,2,4,Friday
2021-02-20,2151,50,69.93,2409.0,2.8,1.1,53.0,18.0,20.4,6.0,1018.0,22.0,75.4,17.0,-23.0,18.0,-10.0,-13.0,1.0,5.0,1,2,5,Saturday
2021-02-21,829,20,70.13,2427.0,1.9,1.1,38.0,13.0,18.7,4.2,1019.0,21.8,77.0,17.0,-32.0,8.0,2.0,-20.0,2.0,5.0,1,2,6,Sunday
2021-02-22,707,15,71.21,2510.0,2.8,1.1,46.0,16.0,16.3,6.9,1019.0,21.6,77.0,17.0,-32.0,7.0,-23.0,-24.0,-17.0,10.0,0,2,0,Monday
2021-02-23,2282,70,71.58,2497.0,3.7,1.1,46.0,20.0,18.7,12.8,1017.0,25.0,61.0,16.0,-32.0,7.0,-22.0,-24.0,-18.0,10.0,0,2,1,Tuesday
2021-02-24,2449,78,72.17,2602.0,5.5,1.6,68.0,30.0,14.7,18.3,1017.0,22.2,67.0,17.0,-37.0,1.0,-29.0,-26.0,-18.0,11.0,0,2,2,Wednesday
2021-02-25,2592,60,72.72,2739.0,3.7,0.6,50.0,17.0,13.0,12.4,1016.0,20.0,82.0,17.0,-32.0,15.0,-30.0,-25.0,-17.0,11.0,0,2,3,Thursday
2021-02-26,2133,44,73.39,2844.0,4.6,1.1,50.0,17.0,12.2,13.3,1016.0,20.0,82.6,17.0,-34.0,12.0,-27.0,-22.0,-14.0,11.0,0,2,4,Friday
2021-02-27,1914,50,74.54,2860.0,3.7,1.1,42.0,15.0,10.6,9.2,1018.0,20.0,83.7,17.3,-25.0,21.0,-34.0,-17.0,0.0,7.0,0,2,5,Saturday
2021-02-28,857,19,76.05,2867.0,3.7,1.1,38.0,14.0,11.4,6.9,1017.6,21.0,82.0,17.3,-34.0,14.0,-23.0,-25.0,0.0,7.0,0,2,6,Sunday
2021-03-01,737,25,77.23,2860.0,3.7,1.1,50.0,20.0,8.6,10.1,1016.8,22.0,83.0,18.0,-33.0,12.0,-25.0,-24.0,-18.0,10.0,0,3,0,Monday
2021-03-02,1920,102,78.14,3040.0,4.6,1.1,61.0,22.0,9.4,13.3,1017.2,22.0,82.0,18.0,-33.0,11.0,-25.0,-25.0,-19.0,11.0,0,3,1,Tuesday
2021-03-03,2668,67,79.14,3419.0,4.6,1.1,50.0,20.0,15.9,12.8,1019.0,22.3,76.1,17.0,-34.0,10.0,-19.0,-24.0,-18.0,11.0,0,3,2,Wednesday
2021-03-04,2572,63,80.06,3546.0,4.6,1.1,53.0,21.0,9.8,16.5,1017.0,22.0,76.3,17.0,-31.0,16.0,-22.0,-24.0,-18.0,11.0,0,3,3,Thursday
2021-03-05,2862,74,80.88,3661.0,3.7,0.6,30.0,12.0,11.0,9.6,1012.8,22.0,77.0,18.0,-25.0,27.0,-14.0,-19.0,-15.0,10.0,0,3,4,Friday
2021-03-06,2716,70,81.61,3742.0,3.7,0.6,21.0,9.0,9.8,7.8,1013.6,20.0,88.0,19.0,-50.0,19.0,-53.0,-32.0,-14.0,12.0,0,3,5,Saturday
2021-03-07,1350,9,82.09,3797.0,3.7,0.6,38.0,11.0,9.8,7.4,1016.0,20.0,88.0,18.0,-56.0,8.0,-52.0,-37.0,-11.0,11.0,0,3,6,Sunday
2021-03-08,1067,65,82.74,3864.0,3.7,1.1,42.0,14.0,10.6,10.6,1016.0,21.0,82.0,17.0,-49.0,11.0,-36.0,-33.0,-26.0,14.0,0,3,0,Monday
2021-03-09,3313,90,83.77,4069.0,3.7,1.1,42.0,17.0,13.5,12.4,1015.0,20.0,77.0,16.0,-51.0,7.0,-40.0,-35.0,-28.0,15.0,0,3,1,Tuesday
2021-03-10,3321,93,84.69,4196.0,2.8,0.6,38.0,14.0,15.1,10.6,1014.0,20.0,77.0,14.0,-50.0,11.0,-31.0,-34.0,-27.0,16.0,0,3,2,Wednesday
2021-03-11,3270,87,85.53,4468.0,4.6,1.1,57.0,23.0,18.3,14.7,1015.1,22.0,73.0,16.0,-50.0,13.0,-35.0,-34.0,-27.0,16.0,0,3,3,Thursday
2021-03-12,3097,86,86.45,4553.0,4.6,1.1,68.0,26.0,17.5,12.4,1017.2,22.0,78.0,18.0,-50.0,16.0,-29.0,-32.0,-24.0,16.0,0,3,4,Friday
2021-03-13,3118,93,87.32,4694.0,3.7,1.1,61.0,22.0,19.9,7.8,1018.8,22.0,78.0,18.0,-50.0,16.0,-42.0,-31.0,-13.0,12.0,0,3,5,Saturday
2021-03-14,1645,34,88.5,4868.0,2.8,0.6,42.0,16.0,19.1,6.0,1019.0,22.2,73.0,18.0,-57.0,3.0,-41.0,-37.0,-11.0,11.0,0,3,6,Sunday
2021-03-15,1303,35,89.29,4992.0,4.6,1.1,55.0,20.0,17.1,11.9,1018.0,22.0,77.0,17.0,-58.0,0.0,-42.0,-40.0,-31.0,17.0,0,3,0,Monday
2021-03-16,3829,154,89.63,5168.0,3.7,1.1,61.0,22.0,16.7,11.9,1017.0,22.0,78.0,18.0,-58.0,1.0,-43.0,-41.0,-33.0,18.0,0,3,1,Tuesday
2021-03-17,3971,108,89.97,5387.0,3.7,1.1,55.0,24.0,17.1,14.2,1015.0,22.7,73.0,16.6,-59.0,2.0,-39.0,-41.0,-34.0,19.0,0,3,2,Wednesday
2021-03-18,3741,179,90.51,5651.0,4.6,0.6,55.0,20.0,13.5,15.1,1016.0,22.0,82.0,18.0,-59.0,4.0,-45.0,-42.0,-35.0,19.0,0,3,3,Thursday
2021-03-19,3973,160,90.89,5816.0,3.7,0.6,55.0,18.0,15.5,13.3,1018.2,22.0,82.0,18.0,-58.0,10.0,-38.0,-38.0,-31.0,19.0,0,3,4,Friday
2021-03-20,4049,116,91.32,5918.0,3.7,1.1,57.0,20.0,18.3,7.8,1021.0,22.0,79.5,18.0,-57.0,16.0,-44.0,-35.0,-16.0,14.0,0,3,5,Saturday
2021-03-21,1633,16,91.39,5838.0,3.7,1.1,57.0,20.0,19.9,7.8,1021.0,25.6,68.0,17.0,-62.0,3.0,-40.0,-41.0,-14.0,13.0,0,3,6,Sunday
2021-03-22,1232,20,91.61,5995.0,5.5,1.1,65.0,26.0,18.7,11.9,1020.0,24.0,69.0,18.0,-58.0,2.0,-42.0,-41.0,-33.0,18.0,0,3,0,Monday
2021-03-23,4149,246,91.8,6169.0,3.7,1.1,61.0,23.0,19.9,9.6,1020.0,23.0,77.0,17.0,-58.0,3.0,-43.0,-42.0,-34.0,19.0,0,3,1,Tuesday
2021-03-24,4491,66,92.07,6388.0,3.7,1.1,55.0,20.0,19.1,8.3,1020.0,22.3,76.2,17.0,-58.0,3.0,-36.0,-41.0,-34.0,19.0,0,3,2,Wednesday
2021-03-25,4214,143,92.17,6347.0,2.8,1.1,46.0,17.0,17.5,8.7,1020.9,22.5,74.2,17.0,-55.0,14.0,-33.0,-39.0,-33.0,18.0,0,3,3,Thursday
2021-03-26,4241,288,92.28,6459.0,3.7,1.1,59.0,25.0,17.5,12.8,1019.0,23.1,76.2,18.0,-61.0,9.0,-33.0,-45.0,-41.0,22.0,0,3,4,Friday
2021-03-27,3709,277,92.38,6492.0,3.7,1.1,65.0,26.0,25.2,11.0,1018.0,25.0,61.8,17.0,-59.0,9.0,-45.0,-39.0,-19.0,15.0,0,3,5,Saturday
2021-03-28,2010,32,92.42,6374.0,2.8,0.6,38.0,14.0,26.4,6.0,1017.0,23.4,64.0,16.0,-65.0,-2.0,-44.0,-44.0,-15.0,14.0,0,3,6,Sunday
2021-03-29,1242,118,92.54,6283.0,3.7,1.1,59.0,23.0,23.6,15.1,1016.6,23.4,68.0,16.5,-63.0,-4.0,-45.0,-50.0,-44.0,21.0,0,3,0,Monday
2021-03-30,4748,279,92.67,6256.0,3.7,1.1,34.0,13.0,17.1,11.0,1015.0,21.0,75.6,17.0,-62.0,0.0,-51.0,-50.0,-45.0,22.0,0,3,1,Tuesday
2021-03-31,8348,291,92.63,6176.0,2.8,0.6,30.0,14.0,14.7,6.9,1014.5,19.4,77.0,15.0,-58.0,15.0,-40.0,-47.0,-43.0,21.0,0,3,2,Wednesday
2021-04-01,8646,297,92.8,6167.0,2.8,0.6,30.0,14.0,13.9,6.0,1016.2,18.6,76.7,13.0,-53.0,37.0,-35.0,-44.0,-43.0,19.0,0,4,3,Thursday
2021-04-02,3743,248,92.76,6022.0,1.9,0.6,25.0,10.0,14.3,4.2,1020.0,18.5,77.0,14.0,-73.0,-5.0,-45.0,-67.0,-70.0,29.0,1,4,4,Friday
2021-04-03,1311,61,92.63,5888.0,2.8,1.1,38.0,14.0,15.1,6.4,1020.5,19.4,78.2,15.0,-58.0,18.0,-46.0,-41.0,-24.0,15.0,1,4,5,Saturday
2021-04-04,1359,60,92.63,5703.0,1.9,1.1,25.0,10.0,15.1,4.2,1021.0,19.0,77.0,15.0,-64.0,2.0,-45.0,-40.0,-8.0,11.0,1,4,6,Sunday
2021-04-05,1126,50,92.36,5525.0,2.8,1.1,25.0,12.0,13.5,6.9,1020.7,20.0,77.0,14.5,-57.0,2.0,-41.0,-40.0,-31.0,18.0,1,4,0,Monday
2021-04-06,6740,378,91.98,5369.0,3.7,1.1,38.0,15.0,9.4,11.9,1020.0,19.0,77.0,15.0,-59.0,-3.0,-54.0,-42.0,-33.0,19.0,1,4,1,Tuesday
2021-04-07,5123,181,91.48,5313.0,2.8,1.1,25.0,11.0,10.6,7.4,1022.0,20.0,74.5,15.0,-55.0,12.0,-36.0,-38.0,-31.0,18.0,1,4,2,Wednesday
2021-04-08,4671,347,90.67,5167.0,2.8,1.6,25.0,12.0,11.4,7.8,1023.8,19.1,77.0,14.0,-53.0,22.0,-30.0,-36.0,-30.0,17.0,0,4,3,Thursday
2021-04-09,4397,232,90.14,5002.0,3.7,1.6,50.0,20.0,10.6,13.8,1023.5,20.1,77.0,14.0,-54.0,19.0,-26.0,-34.0,-27.0,17.0,0,4,4,Friday
2021-04-10,3679,153,89.32,4837.0,3.7,1.1,55.0,21.0,17.9,10.1,1020.4,21.0,67.0,13.0,-51.0,24.0,-35.0,-28.0,-11.0,12.0,0,4,5,Saturday
2021-04-11,1689,106,88.61,4657.0,4.6,1.1,61.0,29.0,17.5,13.3,1018.0,22.9,51.8,11.0,-59.0,10.0,-30.0,-35.0,-10.0,12.0,0,4,6,Sunday
2021-04-12,1331,41,88.01,4564.0,3.7,1.1,57.0,29.0,14.3,11.9,1019.0,21.0,61.7,13.0,-53.0,6.0,-38.0,-35.0,-27.0,16.0,0,4,0,Monday
2021-04-13,3885,323,87.31,4492.0,1.9,0.6,21.0,13.0,13.9,6.0,1022.6,18.7,80.0,15.0,-54.0,7.0,-45.0,-37.0,-28.0,17.0,0,4,1,Tuesday
2021-04-14,4072,227,86.74,4392.0,1.9,1.1,30.0,18.0,13.5,7.8,1022.0,17.7,77.0,14.0,-53.0,9.0,-34.0,-34.0,-27.0,17.0,0,4,2,Wednesday
2021-04-15,4161,291,86.28,4370.0,2.8,1.1,38.0,19.0,13.0,8.3,1021.0,18.2,80.6,15.0,-50.0,17.0,-31.0,-33.0,-25.0,16.0,0,4,3,Thursday
2021-04-16,4256,196,85.63,4330.0,3.7,1.1,61.0,30.0,12.2,15.6,1018.1,19.0,82.0,15.0,-51.0,16.0,-23.0,-30.0,-22.0,16.0,0,4,4,Friday
2021-04-17,3723,207,85.15,4163.0,3.7,1.1,59.0,28.0,12.6,12.4,1017.1,19.4,77.0,15.0,-49.0,18.0,-42.0,-28.0,-8.0,12.0,0,4,5,Saturday
2021-04-18,930,22,84.45,4147.0,2.8,0.6,30.0,10.0,17.9,5.5,1017.0,19.0,88.0,16.7,-52.0,7.0,-44.0,-35.0,-5.0,12.0,0,4,6,Sunday
2021-04-19,1126,45,83.98,3950.0,2.8,0.6,13.0,8.0,12.6,6.0,1019.0,17.1,88.0,15.5,-47.0,4.0,-44.0,-32.0,-23.0,16.0,0,4,0,Monday
2021-04-20,3986,223,83.74,4038.0,1.9,0.6,21.0,10.0,10.2,6.9,1020.0,17.0,87.0,15.0,-43.0,14.0,-42.0,-32.0,-24.0,15.0,0,4,1,Tuesday
2021-04-21,3904,289,83.57,4076.0,1.9,0.6,21.0,10.0,11.8,4.6,1019.7,17.5,87.0,15.0,-51.0,3.0,-37.0,-55.0,-62.0,26.0,1,4,2,Wednesday
2021-04-22,2172,53,83.34,4060.0,1.9,0.6,30.0,13.0,10.6,7.4,1020.0,16.1,87.0,14.0,-45.0,17.0,-38.0,-30.0,-22.0,15.0,1,4,3,Thursday
2021-04-23,4034,231,83.08,3913.0,2.8,0.6,30.0,13.0,10.2,9.6,1019.0,17.0,86.0,13.4,-43.0,19.0,-23.0,-26.0,-19.0,15.0,1,4,4,Friday
2021-04-24,3413,198,82.95,3913.0,2.8,0.6,34.0,14.0,13.5,9.6,1018.0,18.8,82.0,15.0,-33.0,22.0,-22.0,-18.0,0.0,10.0,1,4,5,Saturday
2021-04-25,1103,55,82.94,3780.0,3.7,0.6,57.0,22.0,13.5,9.6,1017.0,20.5,77.0,16.0,-41.0,11.0,-8.0,-26.0,3.0,9.0,1,4,6,Sunday
